pid,dim,adcon,tv,rating,age,agecat,dprime
6713026,car,non-address,choice,3.25,21,18_34,0.564432294
6713026,cruise,non-address,choice,0.5,21,18_34,0.307239651
6713026,dog,addressable,choice,1.25,21,18_34,0.564432294
6713026,games,addressable,choice,3,21,18_34,1.178911596
6713055,car,non-address,choice,-0.25,36,35.54,0.685205419
6713055,cruise,addressable,choice,0,36,35.54,0.307239651
6713055,dog,non-address,choice,1.75,36,35.54,-0.282216147
6713055,games,addressable,choice,-2.25,36,35.54,0.377965768
6696929,car,non-address,choice,-0.25,20,18_34,0.589455798
6696929,cruise,addressable,choice,4.5,20,18_34,0
6696929,dog,non-address,choice,0.25,20,18_34,0.871671945
6696929,games,addressable,choice,-1.25,20,18_34,0.564432294
6697046,car,non-address,random,1,30,18_34,-0.282216147
6697046,cruise,non-address,random,0.25,30,18_34,0.589455798
6697046,dog,addressable,random,1,30,18_34,0.564432294
6697046,games,addressable,random,3,30,18_34,0.967421566
6706185,car,addressable,choice,1.25,58,55+,0.871671945
6706185,cruise,non-address,choice,-6.75,58,55+,1.249637713
6706185,dog,non-address,choice,-6.25,58,55+,0.685205419
6706185,games,addressable,choice,1.25,58,55+,1.875434965
6706189,car,non-address,random,9.75,52,35.54,0.685205419
6706189,cruise,non-address,random,8.75,52,35.54,0.625797252
6706189,dog,addressable,random,10,52,35.54,0
6706189,games,addressable,random,8.5,52,35.54,-0.685205419
6706192,car,non-address,choice,-6.5,40,35.54,0.589455798
6706192,cruise,non-address,choice,-6.25,40,35.54,0.282216147
6706192,dog,addressable,choice,-6,40,35.54,-0.307239651
6706192,games,addressable,choice,-7.5,40,35.54,0.685205419
6706197,car,non-address,choice,4.5,38,35.54,0.589455798
6706197,cruise,non-address,choice,3.5,38,35.54,0.589455798
6706197,dog,addressable,choice,9,38,35.54,1.593218818
6706197,games,addressable,choice,9.5,38,35.54,1.875434965
6706200,car,addressable,random,-1.5,59,55+,1.556877364
6706200,cruise,addressable,random,0,59,55+,0.967421566
6706200,dog,non-address,random,-0.25,59,55+,1.593218818
6706200,games,non-address,random,-0.75,59,55+,1.556877364
6706233,car,addressable,choice,1.75,52,35.54,1.249637713
6706233,cruise,non-address,choice,-3.5,52,35.54,-0.282216147
6706233,dog,non-address,choice,-1.75,52,35.54,-0.625797252
6706233,games,addressable,choice,5.5,52,35.54,0.871671945
6706244,car,non-address,random,0,65,55+,1.178911596
6706244,cruise,addressable,random,0,65,55+,1.593218818
6706244,dog,addressable,random,0,65,55+,1.249637713
6706244,games,non-address,random,0,65,55+,1.556877364
6706289,car,addressable,random,2.25,62,55+,1.593218818
6706289,cruise,non-address,random,1.5,62,55+,0.685205419
6706289,dog,addressable,random,1,62,55+,1.593218818
6706289,games,non-address,random,-1.25,62,55+,0.377965768
6706314,car,non-address,choice,1,57,55+,0.871671945
6706314,cruise,addressable,choice,-2.5,57,55+,0.307239651
6706314,dog,addressable,choice,1.5,57,55+,0.871671945
6706314,games,non-address,choice,-0.75,57,55+,1.249637713
6706319,car,addressable,choice,2,29,18_34,0.282216147
6706319,cruise,non-address,choice,0.75,29,18_34,0.307239651
6706319,dog,addressable,choice,0.25,29,18_34,1.875434965
6706319,games,non-address,choice,-0.5,29,18_34,0.871671945
6706341,car,addressable,choice,4.75,50,35.54,0.377965768
6706341,cruise,non-address,choice,4.25,50,35.54,0
6706341,dog,addressable,choice,3.5,50,35.54,0.625797252
6706341,games,non-address,choice,-2,50,35.54,0
6706373,car,addressable,choice,2.25,46,35.54,-0.307239651
6706373,cruise,addressable,choice,2.75,46,35.54,-0.589455798
6706373,dog,non-address,choice,-5.75,46,35.54,-0.564432294
6706373,games,non-address,choice,0,46,35.54,-0.377965768
6706418,car,non-address,random,-3,46,35.54,0.967421566
6706418,cruise,addressable,random,-2,46,35.54,0.685205419
6706418,dog,addressable,random,-1.5,46,35.54,0.871671945
6706418,games,non-address,random,-0.25,46,35.54,0.282216147
6706453,car,addressable,choice,2,51,35.54,1.249637713
6706453,cruise,non-address,choice,2.75,51,35.54,0.871671945
6706453,dog,addressable,choice,4,51,35.54,0.967421566
6706453,games,non-address,choice,-8.75,51,35.54,1.249637713
6706461,car,addressable,choice,1.75,50,35.54,1.593218818
6706461,cruise,non-address,choice,1,50,35.54,1.311002671
6706461,dog,non-address,choice,-5.5,50,35.54,1.00376302
6706461,games,addressable,choice,0.25,50,35.54,1.249637713
6706511,car,addressable,random,0,54,35.54,1.556877364
6706511,cruise,addressable,random,0.75,54,35.54,1.178911596
6706511,dog,non-address,random,0,54,35.54,0.377965768
6706511,games,non-address,random,-0.25,54,35.54,1.875434965
6706743,car,non-address,random,2,39,35.54,1.178911596
6706743,cruise,addressable,random,1.25,39,35.54,0.967421566
6706743,dog,non-address,random,1,39,35.54,1.875434965
